epoch,steps,syncs,accuracy,loss,time,exper_id
1,234,234,0.9878000020980836,0.0406145676970481,84.28949189186096,0
2,468,468,0.9914000034332277,0.0289592593908309,165.44541954994202,0
3,702,702,0.9896000027656556,0.0321723632514476,246.15655708312988,0
4,937,937,0.9936000108718872,0.0222655571997165,327.3519697189331,0
5,1171,1171,0.9936000108718872,0.0230820327997207,408.4620838165283,0
6,1405,1405,0.9937000274658204,0.0207051876932382,490.3670241832733,0
7,1639,1639,0.9943000078201294,0.0206415504217147,572.3086843490601,0
8,1874,1874,0.9921000003814696,0.0283408425748348,653.8930060863495,0
9,2108,2108,0.9944999814033508,0.0200718380510807,735.7141280174255,0
10,2342,2342,0.9943000078201294,0.0213808938860893,817.1622095108032,0
1,234,51,0.9853000044822692,0.0449311286211013,84.40106558799744,1
2,468,93,0.9919000267982484,0.0266211982816457,166.9198715686798,1
3,702,133,0.9937999844551086,0.0215579904615879,248.34053421020508,1
4,937,170,0.9929999709129332,0.0256043784320354,330.1803328990936,1
5,1171,208,0.9929999709129332,0.0233610682189464,411.2537529468536,1
6,1405,246,0.9947999715805054,0.0175712089985609,493.1054892539978,1
7,1639,282,0.9943000078201294,0.0235697943717241,574.4652137756348,1
8,1874,321,0.9940999746322632,0.0222004074603319,656.5599212646484,1
9,2108,358,0.993399977684021,0.0230306051671504,738.3733661174774,1
10,2342,398,0.9929999709129332,0.0319030135869979,819.7980079650879,1
1,234,234,0.9821000099182128,0.0546443127095699,83.29986119270325,2
2,468,468,0.9889000058174132,0.0360956601798534,164.04292845726013,2
3,702,702,0.9925000071525574,0.0236262083053588,245.2857699394226,2
4,937,937,0.9930999875068665,0.0208141114562749,326.9969925880432,2
5,1171,1171,0.993399977684021,0.0192627217620611,407.96793699264526,2
6,1405,1405,0.992799997329712,0.0247444603592157,488.8670961856842,2
7,1639,1639,0.9921000003814696,0.030557531863451,569.6351413726807,2
8,1874,1874,0.993499994277954,0.0191411823034286,650.8845977783203,2
9,2108,2108,0.9929999709129332,0.0263805519789457,731.6339700222015,2
10,2342,2342,0.9932000041007996,0.0223259832710027,812.1157875061035,2
1,234,52,0.9869999885559082,0.0399365462362766,84.68313694000244,3
2,468,93,0.9923999905586244,0.0246184691786766,167.29077768325806,3
3,702,132,0.9930999875068665,0.0208657439798116,249.1138162612915,3
4,937,171,0.9944999814033508,0.0179594811052083,330.5451002120972,3
5,1171,210,0.9944000244140624,0.0194228719919919,411.9911406040192,3
6,1405,249,0.9944000244140624,0.0195365212857723,492.89443016052246,3
7,1639,284,0.9937999844551086,0.0204314533621072,574.2808725833893,3
8,1874,325,0.9929999709129332,0.0257275179028511,655.939031124115,3
9,2108,365,0.9944999814033508,0.0195839758962392,737.3948466777802,3
10,2342,404,0.994700014591217,0.0210797954350709,819.116286277771,3
1,234,234,0.9764000177383424,0.0792050212621688,83.3073263168335,4
2,468,468,0.988099992275238,0.0431197881698608,164.589684009552,4
3,702,702,0.9914000034332277,0.0288883782923221,246.1650390625,4
4,937,937,0.9904000163078308,0.0318060852587223,327.36805033683777,4
5,1171,1171,0.993399977684021,0.0236619617789983,408.54174637794495,4
6,1405,1405,0.9930999875068665,0.0245053432881832,490.0698752403259,4
7,1639,1639,0.9941999912261964,0.0181246604770421,571.4147746562958,4
8,1874,1874,0.9925000071525574,0.0277969576418399,652.9452550411224,4
9,2108,2108,0.9937999844551086,0.020563069730997,734.2605350017548,4
10,2342,2342,0.9947999715805054,0.0189347006380558,816.2131323814392,4
1,234,54,0.9832000136375428,0.0537117049098014,84.59541821479797,5
2,468,96,0.9905999898910522,0.0309553444385528,167.25208377838135,5
3,702,136,0.9926999807357788,0.0221224892884492,249.20577716827395,5
4,937,174,0.9930999875068665,0.0207058154046535,331.0859360694885,5
5,1171,211,0.9940999746322632,0.0185105949640274,412.8212206363678,5
6,1405,252,0.9937999844551086,0.0236219931393861,494.5771527290344,5
7,1639,293,0.9947999715805054,0.0215578805655241,576.5835807323456,5
8,1874,336,0.9939000010490416,0.0237376075237989,658.9577043056488,5
9,2108,372,0.9936000108718872,0.0206071101129055,740.3746936321259,5
10,2342,410,0.9944000244140624,0.0239195544272661,821.9177289009094,5
1,58,58,0.4232000112533569,1.650148868560791,25.11783623695373,6
2,116,116,0.7506999969482422,0.684503436088562,47.73245906829834,6
3,175,175,0.9463000297546388,0.1866568773984909,70.82117176055908,6
4,233,233,0.9692999720573424,0.0963268876075744,93.630517244339,6
5,291,291,0.9763000011444092,0.0771498158574104,116.05093669891356,6
6,350,350,0.9818999767303468,0.0580715499818325,139.77405261993408,6
7,408,408,0.9829999804496764,0.0505985952913761,162.58653450012207,6
8,466,466,0.9850999712944032,0.0444145463407039,185.206081867218,6
9,525,525,0.9866999983787536,0.0406747423112392,208.27228474617004,6
10,583,583,0.9879000186920166,0.0395012609660625,230.90733170509336,6
1,78,78,0.1027999967336654,2.301229953765869,32.27879810333252,7
2,156,156,0.8554999828338623,0.4525041878223419,62.59372544288635,7
3,234,234,0.955900013446808,0.1395689696073532,93.12607884407043,7
4,312,312,0.9724000096321106,0.0897844433784484,123.42676091194151,7
5,390,390,0.9789999723434448,0.0696364641189575,153.95028805732727,7
6,468,468,0.9800999760627748,0.0607352182269096,184.50041842460632,7
7,546,546,0.9822999835014344,0.0511207990348339,215.1084532737732,7
8,624,624,0.984499990940094,0.0456700176000595,245.7167596817017,7
9,703,703,0.9846000075340272,0.0509869903326034,276.542320728302,7
10,781,781,0.9882000088691713,0.0378071703016757,306.9813919067383,7
