step,epoch,syncs,loss,time,com_time,calc_time,exper_id
1,1,0,2.304243,0.5479474067687988,0.0,0.0,221
2,1,1,2.3039572,3.017813205718994,1.9560868740081787,0.002071857452392578,221
3,1,1,2.295387,3.521873712539673,2.002769947052002,0.004077911376953125,221
4,1,2,2.2931423,4.929128408432007,2.9254720211029053,0.006501913070678711,221
5,1,2,2.2631516,5.418453693389893,2.937061071395874,0.008622884750366211,221
6,1,3,2.2432604,6.694973707199097,3.7270913124084473,0.010318994522094727,221
7,1,3,2.140328,7.181488037109375,3.7561402320861816,0.011864900588989258,221
8,1,4,2.017377,8.49429965019226,4.577845096588135,0.013643980026245117,221
9,1,4,1.7382295,9.007396936416626,4.60907506942749,0.01513981819152832,221
10,1,5,1.9050415,10.303575992584229,5.429008960723877,0.017941713333129883,221
11,1,5,1.4249129,10.783427953720093,5.453542947769165,0.019952774047851562,221
12,1,6,1.5266017,12.217891454696655,6.391058921813965,0.02179574966430664,221
13,1,6,1.0887939,12.719621419906616,6.431217908859253,0.02373194694519043,221
14,1,7,1.1837395,14.03717589378357,7.288102865219116,0.025686979293823242,221
15,2,7,0.9501288,14.371638298034668,7.288553953170776,0.027186155319213867,221
16,2,7,1.032106,14.866673707962036,7.325955867767334,0.0293731689453125,221
17,2,8,0.9399305,16.16074514389038,8.15534496307373,0.03292417526245117,221
18,2,8,0.7823778,16.678657293319702,8.220891952514648,0.03452324867248535,221
19,2,8,0.926917,17.187175750732422,8.263705968856812,0.036083221435546875,221
20,2,9,0.8033127,18.49409580230713,9.095470905303955,0.03759407997131348,221
21,2,9,0.7870107,18.98447322845459,9.123180866241455,0.03909611701965332,221
22,2,9,0.7458879,19.482518196105957,9.147979021072388,0.04082512855529785,221
23,2,10,0.6082024,20.961498260498047,10.148277997970581,0.04245805740356445,221
24,2,10,0.46510333,21.45959162712097,10.170636892318726,0.04418015480041504,221
25,2,10,0.43912965,21.956374406814575,10.202625751495361,0.04610013961791992,221
26,2,11,0.26975584,23.23272442817688,10.987007856369019,0.04823708534240723,221
27,2,11,0.3669543,23.727361917495728,11.014209032058716,0.05034804344177246,221
28,2,11,0.31896266,24.21794867515564,11.045685052871704,0.05213499069213867,221
29,3,12,0.6341894,25.33307409286499,11.82272219657898,0.05393218994140625,221
30,3,12,0.43890643,25.81485080718994,11.823886156082153,0.05539202690124512,221
31,3,12,0.49842572,26.305823802947998,11.852933168411255,0.056764841079711914,221
32,3,13,0.37878227,27.70670223236084,12.786553144454956,0.05858778953552246,221
33,3,13,0.3518871,28.19882583618164,12.831230163574219,0.060234785079956055,221
34,3,13,0.26105046,28.68182373046875,12.856572151184082,0.06174778938293457,221
35,3,13,0.3154753,29.187503576278687,12.901461124420166,0.0632936954498291,221
36,3,14,0.3134809,30.481335639953613,13.727604866027832,0.06498956680297852,221
37,3,14,0.33466583,30.970184087753296,13.754739046096802,0.06707549095153809,221
38,3,14,0.29094642,31.452171325683594,13.783586978912354,0.06882953643798828,221
39,3,14,0.21000987,31.94501495361328,13.812668800354004,0.07052254676818848,221
40,3,15,0.28420088,33.236652851104736,14.633204936981201,0.07190656661987305,221
41,3,15,0.20689401,33.73050045967102,14.676239967346191,0.07353663444519043,221
42,3,15,0.27695873,34.21257185935974,14.707679033279419,0.07492470741271973,221
43,3,15,0.35379702,34.69428277015686,14.73515009880066,0.07645678520202637,221
44,4,16,0.28978762,35.82189583778381,15.513458967208862,0.07797980308532715,221
45,4,16,0.263982,36.30329251289368,15.533076047897339,0.07989382743835449,221
46,4,16,0.29075563,36.808040380477905,15.58390212059021,0.08176398277282715,221
47,4,16,0.31892872,37.29798150062561,15.609002113342285,0.08324599266052246,221
48,4,17,0.42563525,38.59496998786926,16.433061122894287,0.0847318172454834,221
49,4,17,0.16641739,39.0843391418457,16.46728515625,0.08637166023254395,221
50,4,17,0.14855291,39.57396864891052,16.51607918739319,0.08875250816345215,221
51,4,17,0.333337,40.06167531013489,16.55753517150879,0.09039044380187988,221
52,4,18,0.18140525,41.343788623809814,17.372323036193848,0.09198451042175293,221
53,4,18,0.19232906,41.83383321762085,17.40988326072693,0.0935525894165039,221
54,4,18,0.22164279,42.3201470375061,17.42992925643921,0.09528160095214844,221
55,4,18,0.21184526,42.81119894981384,17.4607572555542,0.09669756889343262,221
56,4,18,0.19729325,43.29864716529846,17.475114107131958,0.09998559951782227,221
57,4,19,0.16435063,44.72044014930725,18.40715527534485,0.10173964500427246,221
