epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,234,234,0.9629999995231628,0.11913266777992249,173.53967881202698,93.23900628089905,0.0,110
2,468,468,0.98089998960495,0.06696230173110962,342.9466121196747,186.18082761764526,0.0,110
3,702,702,0.9861000180244446,0.04097975790500641,513.450119972229,279.5045657157898,0.0,110
4,937,937,0.9883000254631042,0.03541868180036545,686.4406490325928,373.7361490726471,0.0,110
5,1171,1171,0.9883999824523926,0.0368993878364563,858.6312763690948,467.35745549201965,0.0,110
6,1405,1405,0.9904999732971191,0.032601237297058105,1029.6806094646454,560.245903968811,0.0,110
7,1639,1639,0.9907000064849854,0.029702629894018173,1201.3759150505066,654.2403175830841,0.0,110
8,1874,1874,0.9922999739646912,0.02611878700554371,1372.3419363498688,747.6975061893463,0.0,110
9,2108,2108,0.9930999875068665,0.023414134979248047,1544.3427526950836,841.8428995609283,0.0,110
10,2342,2342,0.9929999709129333,0.02453179843723774,1714.282021522522,934.5447335243225,0.0,110
11,2577,2577,0.993399977684021,0.024904048070311546,1887.1341228485107,1028.4700083732605,0.0,110
12,2811,2811,0.9919000267982483,0.02321871742606163,2059.1320555210114,1121.901609659195,0.0,110
13,3045,3045,0.9911999702453613,0.03409756347537041,2229.6192955970764,1215.4294023513794,0.0,110
14,3279,3279,0.992900013923645,0.029676146805286407,2400.459047794342,1308.4997549057007,0.0,110
15,3514,3514,0.9918000102043152,0.03701039031147957,2573.4288256168365,1402.831105709076,0.0,110
16,3748,3748,0.993399977684021,0.02776973508298397,2743.549045562744,1495.6143703460693,0.0,110
17,3982,3982,0.9897000193595886,0.03442177549004555,2912.7449522018433,1588.1053862571716,0.0,110
18,4216,4216,0.9922999739646912,0.029743392020463943,3083.491533279419,1681.3094201087952,0.0,110
19,4451,4451,0.9930999875068665,0.031025607138872147,3255.322211742401,1774.90296626091,0.0,110
20,4685,4685,0.9916999936103821,0.037821393460035324,3425.5074903964996,1867.5836701393127,0.0,110
