epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,117,30,0.982200026512146,0.056736525148153305,60.74230146408081,5.925186634063721,0.2543642520904541,30
2,234,52,0.9900000095367432,0.032065898180007935,119.64124846458435,10.722565650939941,0.4901092052459717,30
3,351,75,0.9918000102043152,0.025104491040110588,178.77540063858032,15.561781644821167,0.7413420677185059,30
4,468,97,0.9914000034332275,0.030384790152311325,237.86176228523254,20.467232942581177,0.989328145980835,30
5,585,118,0.992900013923645,0.02375621162354946,296.7807602882385,25.122100830078125,1.23911714553833,30
6,702,137,0.9926999807357788,0.027663031592965126,355.26855993270874,29.29362177848816,1.4937739372253418,30
7,820,159,0.9943000078201294,0.01706201396882534,414.96460461616516,34.006011724472046,1.7488088607788086,30
8,937,178,0.9936000108718872,0.020972387865185738,473.2941951751709,38.0215060710907,2.000941038131714,30
9,1054,198,0.9940000176429749,0.018493598327040672,531.737664937973,42.18525218963623,2.2529120445251465,30
10,1171,219,0.9944999814033508,0.021717781201004982,590.4442570209503,46.63138175010681,2.515432357788086,30
11,1288,239,0.9941999912261963,0.017226796597242355,649.2446653842926,51.39934062957764,2.7601428031921387,30
12,1405,260,0.9937999844551086,0.023289531469345093,708.2258245944977,56.014249086380005,3.0169291496276855,30
13,1523,281,0.9932000041007996,0.026398058980703354,767.3473198413849,60.6831111907959,3.2785189151763916,30
14,1640,301,0.9945999979972839,0.02275701053440571,826.0046918392181,64.78989219665527,3.5225424766540527,30
15,1757,319,0.993399977684021,0.02726365625858307,884.136449098587,68.7891640663147,3.7745790481567383,30
16,1874,339,0.9937000274658203,0.022821249440312386,942.6678628921509,72.8925461769104,4.020919561386108,30
17,1991,356,0.9944000244140625,0.024964017793536186,1000.5902616977692,76.64933776855469,4.276401519775391,30
18,2108,377,0.9954000115394592,0.02056927978992462,1058.9172863960266,80.97132396697998,4.522970914840698,30
19,2226,395,0.9937000274658203,0.025190945714712143,1117.3746025562286,84.84881949424744,4.77788519859314,30
20,2343,414,0.9944999814033508,0.023076025769114494,1175.7685186862946,88.73994946479797,5.042810678482056,30
21,2460,434,0.9951000213623047,0.022980067878961563,1233.8305218219757,92.88772773742676,5.2982847690582275,30
22,2577,456,0.9932000041007996,0.029935766011476517,1292.5745935440063,97.43796944618225,5.5491509437561035,30
