step,epoch,syncs,loss,time,com_time,calc_time,exper_id
1,1,1,2.3007388,1.9797472953796387,0.0,0.0,31
2,1,2,2.303188,3.125943660736084,0.43020200729370117,0.017915964126586914,31
3,1,2,2.2995481,3.7842445373535156,0.43443989753723145,0.031091928482055664,31
4,1,2,2.2658143,4.441867828369141,0.4467487335205078,0.0424647331237793,31
5,1,2,2.2216475,5.095197439193726,0.45510363578796387,0.054168701171875,31
6,1,2,2.0690916,5.762815237045288,0.46872854232788086,0.06636476516723633,31
7,1,2,1.8845637,6.40800929069519,0.47415971755981445,0.07425665855407715,31
8,1,2,1.6992486,7.067858695983887,0.4837067127227783,0.0883326530456543,31
9,1,2,1.9304187,7.727226972579956,0.4930737018585205,0.10421252250671387,31
10,1,2,1.6524357,8.394315958023071,0.5081558227539062,0.11711859703063965,31
11,1,2,1.581912,9.040797472000122,0.5163676738739014,0.12994647026062012,31
12,1,2,1.4274771,9.692540407180786,0.5237858295440674,0.14479446411132812,31
13,1,2,1.3221649,10.33999252319336,0.5310099124908447,0.1583404541015625,31
14,1,2,1.094764,10.992042064666748,0.5351629257202148,0.1716313362121582,31
15,1,2,0.90990853,11.652762651443481,0.5418441295623779,0.1851341724395752,31
16,1,2,0.9082893,12.309011936187744,0.5450780391693115,0.19738197326660156,31
17,1,2,0.79194874,12.96587872505188,0.5524179935455322,0.21214509010314941,31
18,1,2,0.764214,13.607601165771484,0.5593981742858887,0.2267000675201416,31
19,1,2,0.6345646,14.261884212493896,0.563554048538208,0.2429821491241455,31
20,1,2,0.57968765,14.909689664840698,0.570479154586792,0.25798726081848145,31
21,1,2,0.5027844,15.567814588546753,0.5779111385345459,0.2731592655181885,31
22,1,2,0.51652205,16.234406232833862,0.5840151309967041,0.28641319274902344,31
23,1,2,0.40407202,16.89939308166504,0.5948102474212646,0.3011801242828369,31
24,1,2,0.3912592,17.542136430740356,0.5975172519683838,0.3157620429992676,31
25,1,2,0.48200253,18.209320306777954,0.6061923503875732,0.3298180103302002,31
26,1,2,0.38904253,18.856196641921997,0.6143951416015625,0.34121012687683105,31
27,1,2,0.44788933,19.518094778060913,0.6233921051025391,0.3563411235809326,31
28,1,2,0.2858298,20.17409610748291,0.6312410831451416,0.37042808532714844,31
29,1,2,0.19200695,20.84087300300598,0.640800952911377,0.38506507873535156,31
