epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,234,6,0.9807999730110168,0.060340698808431625,74.44777131080627,3.4533987045288086,2.571446418762207,79
2,468,9,0.9898999929428101,0.03625796362757683,147.87502431869507,6.710323095321655,5.180683135986328,79
3,702,11,0.9912999868392944,0.02788950502872467,220.79721689224243,9.555280208587646,7.677224636077881,79
4,937,14,0.9922999739646912,0.022932032123208046,294.2680866718292,12.893643856048584,10.254301309585571,79
5,1171,17,0.9939000010490417,0.02061624638736248,367.8631703853607,16.228469133377075,12.736929178237915,79
6,1405,20,0.992900013923645,0.020967453718185425,441.3595175743103,19.635165691375732,15.255347728729248,79
7,1639,23,0.9941999912261963,0.018560677766799927,514.5632658004761,22.741973161697388,17.805134057998657,79
8,1874,26,0.9943000078201294,0.01912807859480381,588.1228351593018,26.04697346687317,20.398382902145386,79
9,2108,29,0.9937999844551086,0.020931383594870567,661.3998041152954,29.374858140945435,22.91398811340332,79
10,2342,32,0.9952999949455261,0.017118262127041817,734.6111347675323,32.571606159210205,25.384084701538086,79
11,2577,35,0.9941999912261963,0.019764520227909088,808.1751976013184,36.10127305984497,27.788493871688843,79
12,2811,38,0.9951000213623047,0.018625877797603607,881.6821763515472,39.3369038105011,30.120540142059326,79
13,3045,41,0.995199978351593,0.019170284271240234,954.9773724079132,43.0425443649292,32.66230893135071,79
14,3279,44,0.9952999949455261,0.019457893446087837,1028.1429903507233,46.62655782699585,35.103384494781494,79
15,3514,47,0.9943000078201294,0.019407004117965698,1101.3199698925018,49.76018452644348,37.619837522506714,79
16,3748,51,0.994700014591217,0.019453061744570732,1174.528406381607,53.344136238098145,40.09721040725708,79
17,3982,53,0.9950000047683716,0.01990925893187523,1247.3545281887054,56.49054193496704,42.64216876029968,79
18,4216,56,0.9944000244140625,0.021968210116028786,1320.6236217021942,60.102492570877075,45.17766332626343,79
19,4451,60,0.9940000176429749,0.027153588831424713,1394.4253523349762,63.85389447212219,47.77372694015503,79
20,4685,63,0.9943000078201294,0.030774204060435295,1467.3240315914154,67.44741368293762,50.19529724121094,79
21,4919,67,0.9940000176429749,0.02302791178226471,1540.581903219223,71.06961226463318,52.723050594329834,79
22,5154,71,0.994700014591217,0.02251916565001011,1614.2195808887482,74.7396252155304,55.363062620162964,79
23,5388,74,0.9948999881744385,0.02367330715060234,1687.288794517517,78.51793074607849,57.80419063568115,79
24,5622,77,0.9944000244140625,0.023873506113886833,1760.4518866539001,82.17444229125977,60.28038239479065,79
25,5856,79,0.995199978351593,0.02063964679837227,1833.4792277812958,85.50336813926697,62.88535451889038,79
26,6091,82,0.9948999881744385,0.024396192282438278,1907.2279436588287,89.60097408294678,65.3518967628479,79
27,6325,86,0.9943000078201294,0.02390608936548233,1980.6844265460968,93.3780608177185,67.83855962753296,79
28,6559,91,0.9950000047683716,0.020019689574837685,2054.166635274887,97.2494330406189,70.31122922897339,79
29,6793,94,0.9947999715805054,0.02702764980494976,2127.1983349323273,100.71054935455322,72.77786874771118,79
30,7028,97,0.9948999881744385,0.02436729520559311,2200.77894115448,104.46907758712769,75.30858135223389,79
31,7262,100,0.9947999715805054,0.025059405714273453,2273.4301693439484,107.4514570236206,77.79948115348816,79
32,7496,102,0.9955000281333923,0.02430935576558113,2345.8230035305023,110.36065483093262,80.25425386428833,79
33,7731,104,0.9950000047683716,0.03100036270916462,2419.060530900955,113.63861680030823,82.81120419502258,79
34,7965,108,0.9944999814033508,0.026767922565340996,2492.076781988144,117.18627142906189,85.3291347026825,79
35,8199,111,0.9955999851226807,0.023145604878664017,2564.9264974594116,120.6400694847107,87.76965761184692,79
36,8433,115,0.9944000244140625,0.024112047627568245,2638.1856915950775,124.17997622489929,90.28275799751282,79
37,8668,119,0.9948999881744385,0.028545580804347992,2711.8289246559143,127.76862907409668,92.85103869438171,79
38,8902,122,0.9944000244140625,0.028440985828638077,2784.5915489196777,131.1725242137909,95.41378617286682,79
39,9136,124,0.995199978351593,0.025947460904717445,2856.836439371109,134.1278109550476,97.87979364395142,79
40,9370,127,0.994700014591217,0.026372963562607765,2929.50821352005,137.2721140384674,100.3671817779541,79
41,9605,128,0.994700014591217,0.026459304615855217,3001.911794900894,140.19721269607544,102.88266277313232,79
42,9839,130,0.9954000115394592,0.025986531749367714,3074.5857741832733,143.40042638778687,105.43529105186462,79
43,10073,134,0.9950000047683716,0.028749799355864525,3147.7054340839386,146.99490690231323,107.93168520927429,79
