0,1
10,7
20,11
30,14
40,18
50,20
60,23
70,25
80,28
90,30
100,33
110,35
120,38
130,40
140,43
150,45
160,48
170,50
180,53
190,55
200,58
210,60
220,63
230,65
240,68
250,70
260,73
270,75
280,77
290,80
300,82
310,85
320,87
330,90
340,92
350,95
360,97
370,100
380,102
390,105
400,107
410,110
420,112
430,114
440,117
450,119
460,121
470,123
480,125
490,127
500,129
510,132
520,134
530,136
540,139
550,141
560,144
570,146
580,148
590,150
600,152
610,154
620,156
630,158
640,161
650,163
660,166
670,168
680,170
690,173
700,175
710,177
720,179
730,181
740,184
750,186
760,188
770,191
780,193
790,195
800,197
810,200
820,202
830,205
840,207
850,210
860,212
870,214
880,216
890,218
900,220
910,222
920,224
930,226
940,229
950,231
960,233
970,235
980,237
990,239
1000,241
1010,244
1020,246
1030,249
1040,251
1050,253
1060,255
1070,257
1080,260
1090,262
1100,264
1110,266
1120,269
1130,271
1140,273
1150,276
1160,278
1170,280
1180,282
1190,284
1200,287
1210,289
1220,291
1230,293
1240,295
1250,297
1260,299
1270,302
1280,304
1290,306
1300,309
1310,311
1320,314
1330,316
1340,318
1350,320
1360,322
1370,325
1380,327
1390,329
1400,331
1410,333
1420,335
1430,337
1440,339
1450,341
1460,343
1470,346
1480,348
1490,350
1500,352
1510,354
1520,356
1530,358
1540,360
1550,363
1560,365
1570,367
1580,370
1590,372
1600,374
1610,376
1620,378
1630,380
1640,383
1650,385
1660,387
1670,389
1680,392
1690,394
1700,396
1710,398
1720,400
1730,402
1740,404
1750,406
1760,408
1770,410
1780,413
1790,415
1800,417
1810,419
1820,421
1830,423
1840,425
1850,427
1860,429
1870,431
1880,434
1890,436
1900,438
1910,440
1920,442
1930,444
1940,447
1950,449
1960,451
1970,453
1980,456
1990,458
2000,460
2010,462
2020,465
2030,467
2040,469
2050,471
2060,473
2070,475
2080,478
2090,480
2100,482
2110,485
2120,487
2130,489
2140,491
2150,493
2160,495
2170,497
2180,500
2190,502
2200,504
2210,506
2220,508
2230,510
2240,512
2250,514
2260,516
2270,518
2280,520
2290,522
2300,524
2310,526
2320,528
2330,531
2340,533
2350,535
2360,537
2370,539
2380,541
2390,543
2400,546
2410,548
2420,550
2430,552
2440,554
2450,556
2460,558
2470,561
2480,563
2490,565
2500,567
2510,569
2520,571
2530,573
2540,576
2550,578
2560,580
2570,582
2580,584
2590,586
2600,589
2610,591
2620,593
2630,595
2640,598
2650,600
2660,603
2670,605
2680,607
2690,610
2700,612
2710,614
2720,616
2730,618
2740,620
2750,622
2760,624
2770,626
2780,628
2790,631
2800,633
2810,635
2820,637
2830,639
2840,642
2850,644
2860,646
2870,648
2880,650
2890,652
2900,654
2910,657
2920,659
2930,661
2940,663
2950,665
2960,668
2970,670
2980,672
2990,674
3000,677
3010,679
3020,682
3030,684
3040,685
3050,687
3060,689
3070,691
3080,693
3090,696
3100,698
3110,700
3120,703
3130,705
3140,707
3150,709
3160,711
3170,713
3180,715
3190,717
3200,720
3210,722
3220,724
3230,727
3240,729
3250,731
3260,733
3270,735
3280,737
3290,740
3300,742
3310,745
3320,747
3330,749
3340,751
3350,754
3360,756
3370,758
3380,760
3390,762
3400,764
3410,766
3420,769
3430,771
3440,773
3450,775
3460,777
3470,780
3480,782
3490,784
3500,786
3510,789
3520,791
3530,794
3540,797
3550,799
3560,802
3570,804
3580,806
3590,809
3600,811
3610,813
3620,816
3630,818
3640,821
3650,823
3660,825
3670,828
3680,830
3690,833
3700,835
3710,837
3720,839
3730,841
3740,843
3750,845
3760,847
3770,850
3780,852
3790,854
3800,856
3810,859
3820,861
3830,863
3840,865
3850,867
3860,869
3870,871
3880,873
3890,876
3900,878
3910,880
3920,881
3930,883
3940,885
3950,888
3960,890
3970,892
3980,894
3990,896
4000,899
4010,901
4020,903
4030,906
4040,908
4050,910
4060,912
4070,914
4080,917
4090,919
4100,922
4110,924
4120,927
4130,929
4140,931
4150,934
4160,936
4170,939
4180,941
4190,944
4200,946
4210,948
4220,950
4230,952
4240,954
4250,956
4260,958
4270,961
4280,963
4290,965
4300,967
4310,969
4320,971
4330,973
4340,975
4350,977
4360,980
4370,982
4380,984
4390,986
4400,988
4410,990
4420,993
4430,994
4440,996
4450,998
4460,1000
4470,1002
4480,1005
4490,1007
4500,1009
4510,1011
4520,1014
4530,1016
4540,1019
4550,1021
4560,1023
4570,1026
4580,1028
4590,1030
4600,1033
4610,1035
4620,1037
4630,1039
4640,1042
4650,1044
4660,1046
4670,1047
4680,1049
4690,1051
4700,1054
4710,1056
4720,1058
4730,1060
4740,1062
4750,1064
4760,1066
4770,1068
4780,1071
4790,1073
4800,1075
4810,1077
4820,1079
4830,1081
4840,1084
4850,1086
4860,1088
4870,1091
4880,1093
4890,1095
4900,1097
4910,1100
4920,1102
4930,1104
4940,1106
4950,1108
4960,1110
4970,1112
4980,1115
4990,1117
