0,1
10,11
20,17
30,22
40,27
50,32
60,37
70,42
80,47
90,50
100,55
110,60
120,64
130,68
140,72
150,75
160,78
170,82
180,85
190,88
200,92
210,95
220,99
230,102
240,105
250,109
260,112
270,115
280,119
290,122
300,125
310,129
320,132
330,135
340,139
350,142
360,146
370,150
380,153
390,156
400,160
410,163
420,166
430,170
440,173
450,176
460,180
470,183
480,187
490,190
500,194
510,197
520,202
530,206
540,209
550,213
560,216
570,220
580,224
590,227
600,230
610,234
620,238
630,241
640,244
650,248
660,251
670,254
680,258
690,261
700,264
710,268
720,271
730,274
740,278
750,281
760,285
770,288
780,292
790,297
800,300
810,304
820,309
830,313
840,317
850,320
860,324
870,327
880,330
890,334
900,337
910,340
920,344
930,347
940,350
950,354
960,357
970,361
980,364
990,367
1000,371
1010,374
1020,377
1030,381
1040,384
1050,388
1060,391
1070,395
1080,398
1090,402
1100,405
1110,408
1120,412
1130,415
1140,418
1150,422
1160,425
1170,428
1180,432
1190,435
1200,438
1210,442
1220,445
1230,448
1240,452
1250,455
1260,458
1270,462
1280,465
1290,468
1300,472
1310,475
1320,478
1330,482
1340,485
1350,488
1360,492
1370,495
1380,498
1390,502
1400,505
1410,508
1420,512
1430,515
1440,518
1450,522
1460,525
1470,528
1480,532
1490,535
1500,539
1510,542
1520,546
1530,549
1540,552
1550,556
1560,559
1570,562
1580,566
1590,569
1600,572
1610,576
1620,579
1630,582
1640,586
1650,589
1660,592
1670,596
1680,599
1690,602
1700,606
1710,609
1720,612
1730,616
1740,619
1750,622
1760,626
1770,629
1780,632
1790,636
1800,639
1810,642
1820,646
1830,649
1840,652
1850,656
1860,659
1870,662
1880,666
1890,669
1900,672
1910,676
1920,679
1930,682
1940,686
1950,689
1960,693
1970,696
1980,700
1990,703
2000,706
2010,710
2020,713
2030,716
2040,720
2050,723
2060,726
2070,730
2080,733
2090,736
2100,740
2110,743
2120,746
2130,750
2140,753
2150,756
2160,760
2170,763
2180,767
2190,771
2200,774
2210,777
2220,781
2230,784
2240,787
2250,791
2260,794
2270,797
2280,800
2290,803
2300,807
2310,810
2320,813
2330,817
2340,820
2350,823
2360,827
2370,830
2380,833
2390,837
2400,840
2410,843
2420,847
2430,850
2440,853
2450,857
2460,860
2470,863
2480,867
2490,870
