epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,234,234,0.9573000073432922,0.13260772824287415,81.50874423980713,35.019420862197876,0.0,0
2,468,468,0.9817000031471252,0.0606330931186676,161.49987149238586,70.3956515789032,0.0,0
3,702,702,0.9890000224113464,0.035481806844472885,241.32323956489563,105.34563875198364,0.0,0
4,937,937,0.9901999831199646,0.032043054699897766,322.6361653804779,141.48778986930847,0.0,0
5,1171,1171,0.9883999824523926,0.03502119332551956,403.03017115592957,176.67865204811096,0.0,0
6,1405,1405,0.9916999936103821,0.025551997125148773,483.80588698387146,212.61793565750122,0.0,0
7,1639,1639,0.9896000027656555,0.038784049451351166,564.5196342468262,248.47265768051147,0.0,0
8,1874,1874,0.9922000169754028,0.022031471133232117,645.3093731403351,284.1694793701172,0.0,0
9,2108,2108,0.9932000041007996,0.02172587625682354,725.2728440761566,319.3602194786072,0.0,0
10,2342,2342,0.9927999973297119,0.02383739873766899,805.4508311748505,354.756450176239,0.0,0
11,2577,2577,0.9926999807357788,0.023970026522874832,886.0343284606934,390.2741458415985,0.0,0
12,2811,2811,0.9925000071525574,0.02803819812834263,966.772864818573,426.09408950805664,0.0,0
13,3045,3045,0.9922999739646912,0.029001446440815926,1047.4965164661407,461.9247226715088,0.0,0
14,3279,3279,0.9930999875068665,0.02962983399629593,1128.0394570827484,497.5184578895569,0.0,0
15,3514,3514,0.992900013923645,0.026114175096154213,1208.2111418247223,533.0333847999573,0.0,0
16,3748,3748,0.9918000102043152,0.030559906736016273,1288.0843777656555,568.144612789154,0.0,0
17,3982,3982,0.9922000169754028,0.0369706004858017,1368.1127557754517,603.4731197357178,0.0,0
18,4216,4216,0.9937000274658203,0.026447225362062454,1448.4653742313385,638.815309047699,0.0,0
19,4451,4451,0.9932000041007996,0.030710730701684952,1529.1948623657227,674.428731918335,0.0,0
20,4685,4685,0.9921000003814697,0.032276373356580734,1610.07062458992,709.9877574443817,0.0,0
