epoch,steps,syncs,accuracy,loss,time,agg_time,exper_id
1,234,234,0.9211000204086304,0.262660264968872,4.49076771736145,0.0010366439819335,0
2,468,468,0.9513000249862672,0.1612975299358368,7.648444652557373,0.001915693283081,0
3,702,702,0.9635000228881836,0.1192281022667884,10.73529052734375,0.002777099609375,0
4,937,937,0.9707000255584716,0.0934818759560585,13.811498165130615,0.0036714076995849,0
5,1171,1171,0.9750999808311462,0.0794117897748947,16.944814205169678,0.004573106765747,0
6,1405,1405,0.9769999980926514,0.0735776275396347,19.953933715820312,0.0057084560394287,0
7,1639,1639,0.9794999957084656,0.0645027682185173,23.05158758163452,0.0065932273864746,0
8,1874,1874,0.9822999835014344,0.0576649419963359,26.148277282714844,0.0074574947357177,0
9,2108,2108,0.9832000136375428,0.0539566352963447,29.249091625213623,0.0101494789123535,0
10,2342,2342,0.9833999872207642,0.052642248570919,32.62773561477661,0.0110950469970703,0
1,234,12,0.9182999730110168,0.26873543858528137,5.2983691692352295,0.0013790130615234375,1
2,468,18,0.9419000148773193,0.18185780942440033,8.8893723487854,0.0025670528411865234,1
3,702,23,0.953499972820282,0.1507129967212677,11.998654127120972,0.003701448440551758,1
4,937,29,0.968500018119812,0.10607780516147614,15.09597373008728,0.004871368408203125,1
5,1171,34,0.9722999930381775,0.09182333946228027,18.184746980667114,0.00605010986328125,1
6,1405,38,0.9724000096321106,0.08997083455324173,21.268552780151367,0.007245779037475586,1
7,1639,43,0.9685999751091003,0.09535491466522217,24.431787252426147,0.008411169052124023,1
8,1874,49,0.9800000190734863,0.06661803275346756,27.468901872634888,0.00953984260559082,1
9,2108,53,0.9746999740600586,0.07753056287765503,30.43816828727722,0.010694742202758789,1
10,2342,58,0.9800000190734863,0.06471975892782211,33.53273892402649,0.011838674545288086,1
