step,epoch,syncs,loss,time,com_time,calc_time,exper_id
1,1,0,2.3060393,0.5532729625701904,0.0,0.0,196
2,1,1,2.3037238,2.2590389251708984,0.1700899600982666,1.0609240531921387,196
3,1,1,2.293049,3.561079263687134,0.23231291770935059,1.8651642799377441,196
4,1,1,2.3051796,4.8539814949035645,0.24335002899169922,2.6721322536468506,196
5,1,1,2.295198,6.145736217498779,0.25327181816101074,3.483405351638794,196
6,1,1,2.2783885,7.432087421417236,0.2547440528869629,4.298643589019775,196
7,1,1,2.2529325,8.715392351150513,0.2563600540161133,5.103172302246094,196
8,1,1,2.2759175,9.995776176452637,0.25816988945007324,5.911132335662842,196
9,1,1,2.2369635,11.287771701812744,0.2820000648498535,6.715595245361328,196
10,1,1,2.2089853,12.581834554672241,0.3109581470489502,7.5189032554626465,196
11,1,1,2.172967,13.871289491653442,0.3344841003417969,8.32728123664856,196
12,1,1,2.048389,15.170660734176636,0.36138105392456055,9.12970519065857,196
13,1,1,2.0511756,16.45802402496338,0.36910009384155273,9.929080247879028,196
14,1,1,1.7722348,17.736741065979004,0.3786740303039551,10.735292196273804,196
15,1,1,1.6402876,19.015087127685547,0.3801400661468506,11.547580242156982,196
16,1,1,1.6367767,20.320177793502808,0.4043619632720947,12.352545022964478,196
17,1,2,1.4506915,21.775315523147583,0.5669140815734863,13.158017873764038,196
18,1,2,1.7646252,23.049359560012817,0.5805470943450928,13.957177877426147,196
19,1,2,1.4719546,24.36033821105957,0.6279830932617188,14.764103889465332,196
20,1,2,1.4674987,25.635565042495728,0.6468071937561035,15.563841104507446,196
21,1,2,1.2905564,26.93013858795166,0.6645820140838623,16.37511897087097,196
22,1,2,1.185359,28.211286544799805,0.7047140598297119,17.174237966537476,196
23,1,2,1.2708805,29.491294145584106,0.7124791145324707,17.986007928848267,196
24,1,2,0.9506317,30.792548656463623,0.7404801845550537,18.789573907852173,196
25,1,2,0.9493346,32.0908317565918,0.7718982696533203,19.596377849578857,196
