epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,14,1,0.19769999384880066,2.295377492904663,19.559527158737183,2.0984115600585938,10.871647834777832,292
2,28,1,0.19769999384880066,2.295377492904663,38.60061311721802,3.379284381866455,22.314263105392456,292
3,43,1,0.19769999384880066,2.295377492904663,58.87530779838562,4.566038370132446,34.56523013114929,292
4,57,1,0.19769999384880066,2.295377492904663,77.9027156829834,5.842733144760132,46.00380754470825,292
5,71,1,0.19769999384880066,2.295377492904663,96.76852750778198,7.032726287841797,57.427083015441895,292
6,86,1,0.19769999384880066,2.295377492904663,117.06213855743408,8.242600917816162,69.66897344589233,292
7,100,1,0.19769999384880066,2.295377492904663,135.93785214424133,9.217655420303345,81.12399792671204,292
8,115,2,0.9301000237464905,1.3050447702407837,157.16222953796387,11.462788343429565,93.34077382087708,292
9,129,2,0.9301000237464905,1.3050447702407837,176.18172073364258,12.797780990600586,104.75529551506042,292
10,143,2,0.9301000237464905,1.3050447702407837,195.23157954216003,14.123078107833862,116.15488457679749,292
11,158,2,0.9301000237464905,1.3050447702407837,215.80220222473145,15.70481562614441,128.41612648963928,292
12,172,2,0.9301000237464905,1.3050447702407837,234.86243891716003,16.991906881332397,139.86580848693848,292
13,187,2,0.9301000237464905,1.3050447702407837,255.22549986839294,18.379871129989624,152.10979175567627,292
14,201,2,0.9301000237464905,1.3050447702407837,274.23823642730713,19.702146291732788,163.51833319664001,292
15,215,2,0.9301000237464905,1.3050447702407837,293.2932391166687,21.01628541946411,174.93702006340027,292
16,230,2,0.9301000237464905,1.3050447702407837,313.7202923297882,22.407376050949097,187.19952034950256,292
17,244,2,0.9301000237464905,1.3050447702407837,332.7463982105255,23.66600203514099,198.64058089256287,292
18,259,2,0.9301000237464905,1.3050447702407837,353.079386472702,24.95401620864868,210.90036368370056,292
19,273,3,0.9779999852180481,0.07055701315402985,373.14311051368713,27.195408582687378,222.35275101661682,292
20,287,3,0.9779999852180481,0.07055701315402985,392.2000524997711,28.51833486557007,233.78911662101746,292
