epoch,steps,syncs,accuracy,loss,time,com_time,calc_time,exper_id
1,117,3,0.9825999736785889,0.05599205195903778,57.05705261230469,1.3093719482421875,1.2978262901306152,4
2,234,4,0.9909999966621399,0.03090655244886875,110.6387882232666,2.454089879989624,2.7070066928863525,4
3,351,4,0.9909999966621399,0.02915448322892189,163.72654485702515,3.7104151248931885,3.98307204246521,4
4,468,5,0.9927999973297119,0.025364866480231285,217.86967515945435,4.940927028656006,5.316838264465332,4
5,585,5,0.9936000108718872,0.021777182817459106,272.3110022544861,6.036693334579468,6.679009675979614,4
6,702,6,0.9932000041007996,0.021841716021299362,327.5521922111511,7.152079820632935,8.051777124404907,4
7,820,6,0.9958999752998352,0.01450034324079752,382.5199933052063,8.35056734085083,9.350293397903442,4
8,937,7,0.9941999912261963,0.02076341025531292,437.5329020023346,9.490892171859741,10.724534273147583,4
9,1054,7,0.9944999814033508,0.020880501717329025,491.4004955291748,10.683763027191162,11.989445447921753,4
10,1171,8,0.9937999844551086,0.019987372681498528,544.8136231899261,11.864158630371094,13.303317785263062,4
