epoch,steps,syncs,accuracy,loss,time,agg_time,norm_time,exper_id
1,117,117,0.8644999861717224,0.4815820455551147,4.194507598876953,0.8352723121643066,0.0,0
2,234,234,0.916100025177002,0.2835818827152252,8.043256044387817,1.504960536956787,0.0,0
3,351,351,0.9401999711990356,0.202710822224617,11.776760816574097,2.0695347785949707,0.0,0
4,468,468,0.9527999758720398,0.1620436012744903,15.560262441635132,2.6775505542755127,0.0,0
5,585,585,0.9575999975204468,0.1386636644601822,19.30993723869324,3.247589588165283,0.0,0
6,702,702,0.964299976825714,0.1153249517083168,23.11722540855408,3.87469482421875,0.0,0
7,820,820,0.9686999917030334,0.1022617369890213,26.89286780357361,4.448618173599243,0.0,0
8,937,937,0.971400022506714,0.0937775298953056,30.65382432937622,5.0119733810424805,0.0,0
9,1054,1054,0.974399983882904,0.0853238403797149,34.406365633010864,5.5798280239105225,0.0,0
10,1171,1171,0.9761000275611876,0.0802492350339889,38.17254066467285,6.177339315414429,0.0,0
11,1288,1288,0.977400004863739,0.0750540196895599,41.91335320472717,6.767490148544312,0.0,0
12,1405,1405,0.9782000184059144,0.0715459138154983,45.620601654052734,7.368152379989624,0.0,0
13,1523,1523,0.9796000123023988,0.0651077330112457,49.36656665802002,7.945348978042602,0.0,0
14,1640,1640,0.981599986553192,0.062433086335659,53.09790754318237,8.553404092788696,0.0,0
15,1757,1757,0.9819999933242798,0.0590537898242473,56.78500032424927,9.120676755905151,0.0,0
16,1874,1874,0.982699990272522,0.0565417483448982,60.49646425247192,9.686386108398438,0.0,0
17,1991,1991,0.984000027179718,0.0531225353479385,64.2400541305542,10.306737184524536,0.0,0
18,2108,2108,0.9835000038146972,0.0528067573904991,67.97216463088989,10.872013092041016,0.0,0
19,2226,2226,0.9832000136375428,0.0521874204277992,71.73751282691956,11.475529909133911,0.0,0
20,2343,2343,0.9851999878883362,0.0484140031039714,75.43018174171448,12.023256063461304,0.0,0
1,117,9,0.8967000246047974,0.3526405394077301,4.04871392250061,0.275073766708374,0.3437004089355469,1
2,234,12,0.9196000099182128,0.2765327990055084,7.723924875259399,0.5145564079284668,0.6939871311187744,1
3,351,15,0.9340000152587892,0.2231014668941497,11.394732236862184,0.7041797637939453,1.046917200088501,1
4,468,17,0.9417999982833862,0.1856302767992019,15.052669525146484,0.8779420852661133,1.4012548923492432,1
5,585,20,0.9545999765396118,0.153640478849411,18.6719753742218,1.0461416244506836,1.7582526206970217,1
6,702,22,0.9531999826431274,0.153574526309967,22.33001017570496,1.2484652996063232,2.1233723163604736,1
7,820,24,0.9592000246047974,0.1362205147743225,26.01152777671814,1.4312703609466553,2.487423658370972,1
8,937,26,0.960200011730194,0.1258955001831054,29.656152725219727,1.637261152267456,2.851115226745605,1
9,1054,29,0.9710000157356262,0.0993469879031181,33.27328538894653,1.804753303527832,3.214470148086548,1
10,1171,31,0.9679999947547911,0.1012485027313232,36.93521404266357,2.020713329315185,3.5756044387817383,1
11,1288,33,0.9689000248908995,0.1002488508820533,40.57674717903137,2.2066352367401123,3.9248201847076416,1
12,1405,35,0.9692000150680542,0.1011767089366912,44.218709230422974,2.3837149143218994,4.280627727508545,1
13,1523,37,0.9677000045776368,0.1033663302659988,47.89896273612976,2.5450878143310547,4.641296148300171,1
14,1640,39,0.9702000021934508,0.0907678976655006,51.51375126838684,2.7229583263397217,4.997998952865601,1
15,1757,41,0.9731000065803528,0.0898019298911094,55.13855266571045,2.8869524002075195,5.355419635772705,1
16,1874,43,0.9746999740600586,0.0807180032134056,58.75860786437988,3.0802810192108154,5.717139959335327,1
17,1991,45,0.9742000102996826,0.0824143439531326,62.34543013572693,3.2455432415008545,6.06741189956665,1
18,2108,48,0.9800000190734864,0.0684844106435775,65.95995020866394,3.401503801345825,6.426537990570068,1
19,2226,50,0.9785000085830688,0.0700291618704795,69.62014126777649,3.58240818977356,6.778020143508911,1
20,2343,52,0.9771000146865844,0.0710176676511764,73.22249364852905,3.756405353546143,7.126429319381714,1
